name,loc,men,women,age
송악산,0,56,44,30 
물영아리,0,54,46,20 
이승이,0,61,39,30 
머체왓숲길,0,47,53,50 
성산일출봉,0,63,37,20 
군산,0,65,35,30 
용머리,0,59,41,20 
따라비오름,0,56,44,30 
영주산,0,49,51,30 
백약이오름,0,42,58,20 
붉은오름,0,50,50,30 
고근산,0,50,50,50 
거문오름,1,50,50,30 
검은오름,1,46,54,20 
궷물오름,1,54,46,20 
다랑쉬,1,54,46,20 
도두봉,1,48,52,20 
물메(수산봉),1,53,47,20 
민오름,1,47,53,20 
큰바리메오름,1,64,36,50 
붉은오름,1,50,50,30 
산굼부리,1,54,46,20 
새별오름,1,50,50,20 
서우봉,1,49,51,20 
수월봉,1,55,45,20 
아끈다랑쉬,1,50,50,30 
아부오름,1,44,56,20 
안돌오름,1,58,42,20 
용눈이오름,1,42,58,20 
저지오름,1,56,44,50 
정물오름,1,62,38,40 
지미봉,1,56,44,20 
